Imputación,Modelo,F1,AUC_Test,PR_AUC
mice,KNN,0.4110929853181077,0.8875741035280509,0.41714690023751144
gain,KNN,0.410828025477707,0.902937030075188,0.42495054310491376
missforest,KNN,0.4053601340033501,0.8742445054945055,0.4108489771698062
simple_median,KNN,0.3927392739273927,0.8582760989010989,0.33374405449570393
knn,KNN,0.3884430176565008,0.8717665558126084,0.3841816408887688
simple_mean,KNN,0.38497652582159625,0.8479612492770388,0.31184373341645544
missforest,Logistic Regression,0.3681159420289855,0.8657786292654713,0.3610133138830268
gain,Logistic Regression,0.36607142857142855,0.8618854829381145,0.3752552375351619
mice,Logistic Regression,0.3609467455621302,0.8578549739733949,0.35613621466507434
simple_median,Logistic Regression,0.34269662921348315,0.8548546847888954,0.3478881203133553
knn,Logistic Regression,0.3422913719943423,0.8526171197223829,0.36471348794464514
simple_mean,Logistic Regression,0.3422913719943423,0.8542546269519954,0.3459619929434373
gain,Random Forest,0.6795366795366795,0.9563855552342394,0.7711507263924817
simple_mean,Random Forest,0.6577181208053692,0.9516031665702718,0.7513155344472928
simple_median,Random Forest,0.6557377049180327,0.9523351648351649,0.7396422479720616
missforest,Random Forest,0.6521739130434783,0.9532930884904569,0.7731956353424096
knn,Random Forest,0.64,0.9531484962406015,0.7310095333351401
mice,Random Forest,0.6335877862595419,0.9529659485251589,0.7516656881670898
